pid,Brand,Model,Số nhân,Số luồng,Tốc độ CPU,NPU,Hiệu năng xử lý AI (TOPS)
327098,AMD,7430U,6,12,2.30 GHz (Lên đến 4.30 GHz khi tải nặng),,
311178,AMD,7520U,4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),,
334442,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
335362,Apple,M4,10,Hãng không công bố,120 GB/s memory bandwidth,,
337470,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
336967,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
321192,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
338207,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
334792,Intel,1315U,6,8,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),,
334450,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
333427,AMD,6600H,6,12,3.30 GHz (Lên đến 4.50 GHz khi tải nặng),,
326124,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
289472,Apple,M2,8,Hãng không công bố,100GB/s,,
334803,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
335556,Intel,12450HX,8,12,Lên đến 4.40 GHz khi tải nặng,,
338323,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
326050,Intel,1315U,6,8,Lên đến 4.50 GHz khi tải nặng,,
334996,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
331362,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
325500,AMD,7520U,4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),,
340564,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
338311,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
323920,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
334997,Intel,N305,8,8,1.80 GHz (Lên đến 3.80 GHz khi tải nặng),,
335372,Apple,M4,10,Hãng không công bố,120 GB/s memory bandwidth,,
326279,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
310449,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
340486,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
334446,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
339679,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
333430,AMD,6600H,6,12,3.30 GHz (Lên đến 4.50 GHz khi tải nặng),,
328235,Intel,12500H,12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),,
321467,AMD,7535HS,6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),,
337233,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
328237,Intel,12500H,12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),,
337420,AMD,7530U,6,12,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),,
334999,AMD,5700U,8,16,1.80 GHz (Lên đến 4.30 GHz khi tải nặng),,
338204,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
329786,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
341563,Intel,210H,8,12,1.60 GHz (Lên đến 4.80 GHz khi tải nặng),,
326830,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
339683,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
333886,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
332365,Intel,12450HX,8,12,Lên đến 4.40 GHz khi tải nặng,,
333104,Intel,1255U,10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),,
311176,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
341612,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
343120,AMD,7730U,8,16,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),,
335554,Intel,13450HX,10,16,2.40 GHz (Lên đến 4.60 GHz khi tải nặng),,
325247,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
325691,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
328238,Intel,12500H,12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),,
338206,Intel,1315U,6,8,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),,
327872,AMD,7435HS,8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),,
337476,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
326049,AMD,7530U,6,12,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),,
331564,Apple,M4,10,Hãng không công bố,120 GB/s memory bandwidth,,
326122,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
343121,AMD,7430U,6,12,2.30 GHz (Lên đến 4.30 GHz khi tải nặng),,
339687,Intel,210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),,
338278,AMD,7435HS,8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),,
338324,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
337474,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
311177,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
322072,Intel,12450HX,8,12,Lên đến 4.40 GHz khi tải nặng,,
328906,Intel,1215U,6,8,1.2GHz,,
310447,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
343122,Intel,13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),,
339681,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
340560,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
341270,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
330162,AMD,7435HS,8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),,
338318,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
318163,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
339857,AMD,7235HS,4,8,3.20 GHz (Lên đến 4.20 GHz khi tải nặng),,
335553,Intel,13450HX,10,16,2.40 GHz (Lên đến 4.60 GHz khi tải nặng),,
328814,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
327707,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
331566,Apple,M4,10,Hãng không công bố,120 GB/s memory bandwidth,,
341607,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
327050,Intel,12450HX,8,12,Lên đến 4.40 GHz khi tải nặng,,
340559,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
336036,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
325697,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
334998,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
328949,Intel,13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),,
337042,Intel,155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
326831,Intel,150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),,
327097,Intel,125H,14,18,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
335555,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
333103,Intel,1255U,10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),,
341602,Intel,125H,14,18,3.60 GHz (Lên đến 4.50 GHz khi tải nặng),,
330932,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
334689,Intel,13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),,
338316,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
341618,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
338322,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
333102,Intel,1255U,10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),,
334794,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
339202,Intel,1305U,5,6,1.6GHz,,
322222,AMD,5700U,8,16,1.80 GHz (Lên đến 4.30 GHz khi tải nặng),,
340479,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
334449,AMD,8845HS,8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
339587,AMD,350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),AMD XDNA,Lên đến 50 TOPS
331568,Apple,M4 pro,12,Hãng không công bố,273 GB/s memory bandwidth,,
326861,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
337044,Intel,125U,12,14,1.30 GHz (Lên đến 4.30 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
339581,AMD,340,6,12,2.00 GHz (Lên đến 4.80 GHz khi tải nặng),AMD XDNA,Lên đến 50 TOPS
337472,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
340491,AMD,7520U,4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),,
322270,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
338320,Intel,225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
313177,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
340484,AMD,7530U,6,12,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),,
314630,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
337475,Intel,1255U,10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),,
340004,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
340558,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
334795,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
327896,AMD,7435HS,8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),,
340478,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
337473,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
333421,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
332578,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
340481,Intel,150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),,
322073,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
340487,Intel,14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),,
332450,Apple,M4 pro,12,Hãng không công bố,273 GB/s memory bandwidth,,
308697,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
317704,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
325479,Intel,125H,14,18,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
333105,Intel,1255U,10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),,
337469,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
337041,Intel,155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Lên đến 11 TOPS
333423,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
341604,Intel,12650H,10,16,3.50 GHz (Lên đến 4.70 GHz khi tải nặng),,
313974,AMD,7840HS,8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Max 10 TOPS
339656,Intel,225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
332370,Intel,155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
