pid,Số nhân GPU,Công suất đồ hoạ - TGP,Hiệu năng xử lý AI (TOPS),Loại card,Tên card
327098,,,,Card tích hợp,AMD Radeon Graphics
311178,,,,Card tích hợp,AMD Radeon Graphics
334442,,,,Card tích hợp,Intel UHD Graphics
335362,8,,,Card tích hợp,Apple M Series - M4
337470,,,,Card tích hợp,Intel Iris Xe Graphics
336967,,,,Card tích hợp,Intel UHD Graphics
321192,,,,Card tích hợp,Intel Iris Xe Graphics
338207,,,,Card tích hợp,Intel UHD Graphics
334792,,,,Card tích hợp,Intel UHD Graphics
334450,,,,Card tích hợp,Intel UHD Graphics
333427,,,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
326124,,,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
289472,8,,,Card tích hợp,Apple M Series - M2
334803,,,,Card tích hợp,Intel Iris Xe Graphics
335556,,65 W,Lên đến 142 TOPS,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
338323,,,,Card tích hợp,Intel Graphics
326050,,,,Card tích hợp,Intel UHD Graphics
334996,,,,Card tích hợp,Intel UHD Graphics
331362,,,,Card tích hợp,Intel Iris Xe Graphics
325500,,,,Card tích hợp,AMD Radeon 610M Graphics
340564,,,,Card tích hợp,Intel UHD Graphics
338311,,,,Card tích hợp,Intel Iris Xe Graphics
323920,,,,Card tích hợp,Intel Iris Xe Graphics
334997,,,,Card tích hợp,Intel UHD Graphics
335372,10,,,Card tích hợp,Apple M Series - M4
326279,,,,Card rời,"NVIDIA GeForce RTX 3050, 4 GB"
310449,,,,Card tích hợp,Intel Iris Xe Graphics
340486,,,,Card tích hợp,Intel Iris Xe Graphics
334446,,,,Card tích hợp,Intel UHD Graphics
339679,,,,Card tích hợp,Intel Iris Xe Graphics
333430,,,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
328235,,,,Card rời,"NVIDIA GeForce RTX 3050, 4 GB"
321467,,45 W,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
337233,,,,Card tích hợp,Intel UHD Graphics
328237,,,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
337420,,,,Card tích hợp,AMD Radeon Graphics
334999,,,,Card tích hợp,AMD Radeon Graphics
338204,,70 W,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
329786,,,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
341563,,,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
326830,,,,Card tích hợp,Intel Graphics
