pid,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Chất liệu,Cân nặng
327098,41 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.6 kg
311178,42 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.6 kg
334442,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.6 kg
335362,53.8 Wh,macOS Sequoia,2025,Vỏ nhôm tái chế 100%,1.2 kg
337470,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
336967,58 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.8 kg
321192,41 Wh,Windows 11 Home SL,2022,Vỏ nhựa,1.9 kg
338207,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.4 kg
334792,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
334450,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.7 kg
333427,57 Wh,Windows 11 Home SL,,Vỏ nhựa,2.1 kg
326124,52.4 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.9 kg
289472,,macOS,2022,Vỏ kim loại,1.2 kg
334803,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
335556,57 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.8 kg
338323,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
326050,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
334996,58 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.5 kg
331362,45 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
325500,47 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
340564,50 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
338311,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
323920,41 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.6 kg
334997,50 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.8 kg
335372,66.5 Wh,macOS Sequoia,2025,Vỏ nhôm tái chế 100%,1.5 kg
326279,52.4 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.9 kg
310449,39.3 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
340486,41.04 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.6 kg
