pid,Kích thước màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,Tấm nền,Màn hình cảm ứng,Độ sáng
327098,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",,False,250 nits
311178,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",TN,False,250 nits
334442,"15.3""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
335362,"13.6""",Liquid Retina (2560 x 1664),Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",IPS,False,500 nits
337470,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",,False,250 nits
336967,"15.6""",Full HD,60 Hz,45% NTSC,"['TFT', 'LED Backlit', 'Acer ComfyView']",,False,
321192,"15.6""",Full HD,120 Hz,,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
338207,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
334792,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",,False,250 nits
334450,"16""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
333427,"15.6""",Full HD,165 Hz,45% NTSC,Acer ComfyView,IPS,False,
326124,"15.6""",Full HD,144 Hz,45% NTSC,Chống chói Anti Glare,IPS,False,
289472,"13.6""",Liquid Retina (2560 x 1664),Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",,False,500 nits
334803,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",,False,
335556,"15.6""",Full HD,144 Hz,100% sRGB,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
338323,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",IPS,False,250 nits
326050,"15.6""",Full HD,60 Hz,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",,False,250 nits
