RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,data_id
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,327098
16 GB,LPDDR5 (Onboard),5500 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",311178
16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),4800 MHz,24 GB,"['512 GB SSD NVMe PCIe', 'Hỗ trợ khe cắm SSD M.2']",334442
16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,335362
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2600 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",337470
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),Đang cập nhật,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",336967
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe', 'Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)']",321192
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",338207
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,16 GB,512 GB SSD NVMe PCIe,334792
24 GB,DDR5 (1 khe 8 GB onboard + 1 khe 16 GB),4800 MHz,24 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",334450
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,96 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",333427
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,64 GB,"['512 GB SSD NVMe PCIe Gen 4.0', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng']",326124
16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,289472
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)']",334803
16 GB,DDR5 (1 khe RAM),4800 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",335556
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe Gen 4.0,338323
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",326050
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,64 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",334996
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",331362
16 GB,LPDDR5 (Onboard),5500 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,325500
