Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,data_id,NPU,Hiệu năng xử lý AI (TOPS),
"['AMD Ryzen 5 - 7430U', 'AMD Ryzen 5']",6,12,2.30 GHz (Lên đến 4.30 GHz khi tải nặng),327098,,,
"['AMD Ryzen 5 - 7520U', 'AMD Ryzen 5']",4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),311178,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),334442,,,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,335362,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),337470,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),336967,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),321192,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),338207,,,
Intel Core i3 Raptor Lake - 1315U,6,8,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),334792,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),334450,,,
"['AMD Ryzen 5 - 6600H', 'AMD Ryzen 5']",6,12,3.30 GHz (Lên đến 4.50 GHz khi tải nặng),333427,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),326124,,,
"['Apple M2', 'Apple M2']",8,Hãng không công bố,100GB/s,289472,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),334803,,,
"['Intel Core i5 Alder Lake - 12450HX', 'Intel Core i5 Alder Lake']",8,12,Lên đến 4.40 GHz khi tải nặng,335556,,,
Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),338323,,,
Intel Core i3 Raptor Lake - 1315U,6,8,Lên đến 4.50 GHz khi tải nặng,326050,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),334996,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),331362,,,
"['AMD Ryzen 5 - 7520U', 'AMD Ryzen 5']",4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),325500,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),340564,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),338311,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),323920,,,
Intel Core i3 Alder Lake chuỗi N - N305,8,8,1.80 GHz (Lên đến 3.80 GHz khi tải nặng),334997,,,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,335372,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),326279,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),310449,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),340486,,,
