Card màn hình,data_id,Số nhân GPU,Công suất đồ hoạ - TGP,Hiệu năng xử lý AI (TOPS)
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",327098,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",311178,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",334442,,,
"['Card tích hợp - 8 nhân GPU', 'Card tích hợp']",335362,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",337470,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",336967,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",321192,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",338207,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",334792,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",334450,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",333427,Hãng không công bố,,
"['Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Card rời']",326124,,,
"['Card tích hợp - 8 nhân GPU', 'Card tích hợp']",289472,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",334803,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",335556,2304 CUDA Cores,65 W,Lên đến 142 TOPS
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",338323,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",326050,,,
"['Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)', 'Card tích hợp']",334996,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",331362,,,
"['Card tích hợp - AMD Radeon 610M Graphics', 'Card tích hợp']",325500,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",340564,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",338311,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",323920,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",334997,Hãng không công bố,,
"['Card tích hợp - 10 nhân GPU', 'Card tích hợp']",335372,,,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",326279,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",310449,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",340486,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",334446,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",339679,,,
"['Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Card rời']",333430,Hãng không công bố,,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",328235,,,
