Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Kích thước,Chất liệu,data_id
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2023,Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.59 kg,Vỏ nhựa,327098
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 360.3 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.63 kg,Vỏ nhựa,311178
60 Wh,Windows 11 Home SL,2024,Dài 343.4 mm - Rộng 239.5 mm - Dày 17.9 mm - 1.63 kg,Vỏ nhựa - nắp lưng bằng kim loại,334442
"Li-Po, 53.8 Wh",macOS Sequoia,03/2025,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ nhôm tái chế 100%,335362
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,337470
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2025,Dài 357.5 mm - Rộng 229.1 mm - Dày 19.9 mm - 1.79 kg,Vỏ nhựa,336967
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2022,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,321192
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2025,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - 1.36 kg,Vỏ nhựa,338207
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2025,Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,334792
60 Wh,Windows 11 Home SL,2024,Dài 360 mm - Rộng 251 mm - Dày 17.9 mm - 1.73 kg,Vỏ nhựa - nắp lưng bằng kim loại,334450
"4-cell, 57Wh",Windows 11 Home SL,,Dài 362.3 mm - Rộng 239.89 mm - Dày 23.5 mm - 2.1 kg,Vỏ nhựa,333427
"3-cell Li-ion, 52.4 Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg,Vỏ nhựa - nắp lưng bằng kim loại,326124
Lên đến 18 giờ,macOS,6/2022,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ kim loại,289472
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,334803
57Wh,Windows 11 Home SL,2024,Dài 359.3 mm - Rộng 236 mm - Dày 22.95 mm - 1.77 kg,Vỏ nhựa,335556
"3-cell Li-ion, 42 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,338323
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2024,Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.59 kg,Vỏ nhựa,326050
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2024,Dài 313.3 mm - Rộng 218 mm - Dày 16.9 mm - 1.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,334996
"3-cell, 45Wh",Windows 11 Home SL,2024,Dài 358.9 mm - Rộng 235.9 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,331362
47 Wh,Windows 11 Home SL,2024,Dài 359.3 mm - Rộng 235 mm - Dày 17.9 mm - 1.62 kg,Vỏ nhựa,325500
"3-cell, 50Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,340564
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,338311
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2023,Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.59 kg,Vỏ nhựa,323920
"3-cell, 50Wh",Windows 11 Home SL,2024,Dài 362.9 mm - Rộng 239.69 mm - Dày 18.9 mm - 1.75 kg,Vỏ nhựa,334997
"Li-Po, 66.5 Wh",macOS Sequoia,03/2025,Dài 340.4 mm - Rộng 237.6 mm - Dày 11.5 mm - 1.51 kg,Vỏ nhôm tái chế 100%,335372
"3-cell Li-ion, 52.4 Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg,Vỏ nhựa,326279
"3-Cell, 39.3 Wh",Windows 11 Home SL,2023,Dài 359 mm - Rộng 241 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,310449
"3 cell, 41.04 Wh",Windows 11 Home SL,2023,Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.59 kg,Vỏ nhựa,340486
60 Wh,Windows 11 Home SL,2024,Dài 343.4 mm - Rộng 239.5 mm - Dày 17.9 mm - 1.63 kg,Vỏ nhựa - nắp lưng bằng kim loại,334446
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2024,Dài 322.17 mm - Rộng 219.43 mm - Dày 19.34 mm - 1.5 kg,Vỏ nhựa,339679
"4-cell, 57Wh",Windows 11 Home SL,,Dài 362.3 mm - Rộng 239.89 mm - Dày 23.5 mm - 2.1 kg,Vỏ nhựa,333430
"4-cell, 56Wh",Windows 11 Home SL,2024,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,328235
"3-cell, 52.5Wh",Windows 11 Home SL,2023,Dài 357.9 mm - Rộng 255 mm - Dày 23.5 mm - 2.29 kg,Vỏ nhựa,321467
60 Wh,Windows 11 Home SL,2025,Dài 314.4 mm - Rộng 222.1 mm - Dày 17.9 mm - 1.33 kg,Vỏ nhựa - nắp lưng bằng kim loại,337233
"3-cell, 50Wh",Windows 11 Home SL,2024,Dài 358.6 mm - Rộng 249.1 mm - Dày 18.9 mm - 1.8 kg,Vỏ nhựa - nắp lưng bằng kim loại,328237
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2025,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - 1.36 kg,Vỏ nhựa,337420
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2025,Dài 358.6 mm - Rộng 232.7 mm - Dày 18.95 mm - 1.7 kg,Vỏ nhựa,334999
"3-cell, 52.5Wh",Windows 11 Home SL,2024,Dài 357.9 mm - Rộng 255 mm - Dày 23.5 mm - 2.29 kg,Vỏ nhựa,338204
"3-cell Li-ion, 52.4 Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,329786
"3-cell Li-ion, 60 Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 356.98 mm - Rộng 265.43 mm - Dày 22.7 mm - 2.49 kg,Vỏ nhựa - nắp lưng bằng hợp kim nhôm,341563
"3-cell, 43Wh",Windows 11 Home SL,2024,Dài 322 mm - Rộng 210 mm - Dày 18.9 mm - 1.51 kg,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,326830
"3-cell Li-ion, 42 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 324.9 mm - Rộng 213.9 mm - Dày 17.9 mm - 1.4 kg,Vỏ nhựa,339683
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,333886
57Wh,Windows 11 Home SL,2024,Dài 359.3 mm - Rộng 236 mm - Dày 22.95 mm - 1.77 kg,Vỏ nhựa,332365
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,333104
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2023,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm - 1.69 kg,Vỏ kim loại - Nắp lưng bằng nhựa,311176
"3-cell, 53.5Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - 2.25 kg,Vỏ nhựa,341612
"3-cell Li-ion, 58 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.6 mm - Rộng 232.7 mm - Dày 18.95 mm - 1.7 kg,Vỏ nhựa,343120
60 Wh,Windows 11 Home SL,2024,Dài 359.86 mm - Rộng 258.7 mm - Dày 23.9 mm - 2.38 kg,Vỏ nhựa,335554
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - 1.65 kg,Vỏ nhựa,325247
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2024,Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.59 kg,Vỏ nhựa,325691
"3-cell, 50Wh",Windows 11 Home SL,2024,Dài 358.6 mm - Rộng 249.1 mm - Dày 18.9 mm - 1.8 kg,Vỏ nhựa - nắp lưng bằng kim loại,328238
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2024,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - 1.36 kg,Vỏ nhựa,338206
"4-cell Li-ion, 90 Wh",Windows 11 Home SL,2024,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm - 2.2 kg,Vỏ nhựa,327872
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,337476
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2024,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - 1.36 kg,Vỏ nhựa,326049
"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.55 kg,Vỏ nhôm tái chế 100%,331564
"3-cell, 53.5Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - 2.25 kg,Vỏ nhựa,326122
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2025,Dài 358.6 mm - Rộng 232.7 mm - Dày 18.95 mm - 1.7 kg,Vỏ nhựa,343121
"4-cell, 56Wh",Windows 11 Home SL,2025,Dài 354 mm - Rộng 251 mm - Dày 26.7 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,339687
60 Wh,Windows 11 Home SL,2025,Dài 359.86 mm - Rộng 258.7 mm - Dày 23.9 mm - 2.38 kg,Vỏ nhựa,338278
"3-cell, 50Wh",Windows 11 Home SL,2025,Dài 358.6 mm - Rộng 249.1 mm - Dày 18.9 mm - 1.8 kg,Vỏ nhựa - nắp lưng bằng kim loại,338324
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,337474
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2023,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm - 1.69 kg,Vỏ kim loại - Nắp lưng bằng nhựa,311177
