Kích thước màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,data_id,Tấm nền,Màn hình cảm ứng
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",327098,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",311178,TN,
"15.3""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",334442,IPS,
"13.6""",Liquid Retina (2560 x 1664),Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",335362,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",337470,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['TFT', 'LED Backlit', 'Acer ComfyView']",336967,,
"15.6""",Full HD (1920 x 1080),120Hz,,"['Chống chói Anti Glare', '250 nits', 'WVA']",321192,,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",338207,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",334792,,
"16""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",334450,IPS,
"15.6""",Full HD (1920 x 1080),165 Hz,45% NTSC,Acer ComfyView,333427,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,Chống chói Anti Glare,326124,IPS,
"13.6""",Liquid Retina (2560 x 1664),Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",289472,,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",334803,,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['Chống chói Anti Glare', '300 nits']",335556,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",338323,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",326050,,
"14""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['LED Backlit', '300 nits', 'Acer ComfyView']",334996,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,Chống chói Anti Glare,331362,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,,"['Chống chói Anti Glare', '300 nits']",325500,IPS,
