data_id,rating,quantity_sales
327098,4.9,"Đã bán 13,4k"
311178,4.9,"Đã bán 23,5k"
334442,4.9,"Đã bán 3,2k"
335362,4.9,"Đã bán 4,2k"
337470,5,"Đã bán 2,2k"
336967,5,"Đã bán 1,3k"
321192,4.9,"Đã bán 13,4k"
338207,5,"Đã bán 1,7k"
334792,5,Đã bán 3k
334450,4.9,"Đã bán 1,4k"
333427,5,"Đã bán 1,4k"
326124,4.9,"Đã bán 2,2k"
289472,4.9,"Đã bán 8,3k"
334803,5,"Đã bán 1,2k"
335556,4.9,Đã bán 1k
338323,5,Đã bán 814
326050,5,Đã bán 9k
334996,5,"Đã bán 1,6k"
331362,5,Đã bán 656
325500,4.9,"Đã bán 5,6k"
340564,5,Đã bán 528
338311,5,"Đã bán 1,1k"
323920,4.9,"Đã bán 10,6k"
334997,4.9,"Đã bán 1,9k"
335372,5,Đã bán 509
326279,4.9,Đã bán 1k
310449,4.9,"Đã bán 2,1k"
340486,5,Đã bán 951
334446,5,"Đã bán 1,3k"
339679,5,Đã bán 668
333430,4.9,"Đã bán 1,8k"
328235,4.9,"Đã bán 2,4k"
321467,5,"Đã bán 3,6k"
337233,5,Đã bán 1k
328237,4.9,"Đã bán 4,2k"
337420,5,Đã bán 893
334999,5,Đã bán 694
338204,4.9,Đã bán 291
329786,5,Đã bán 401
341563,5,Đã bán 63
326830,5,Đã bán 2k
339683,5,Đã bán 558
333886,4.9,"Đã bán 5,3k"
332365,4.9,"Đã bán 2,7k"
333104,5,"Đã bán 1,8k"
311176,4.9,"Đã bán 5,7k"
341612,5,Đã bán 51
343120,,Đã bán 2
335554,5,Đã bán 683
325247,4.9,"Đã bán 2,4k"
325691,4.9,"Đã bán 3,9k"
328238,4.9,"Đã bán 2,1k"
338206,5,Đã bán 457
327872,5,"Đã bán 1,3k"
337476,5,Đã bán 1k
326049,4.9,Đã bán 6k
331564,5,"Đã bán 1,5k"
326122,4.9,Đã bán 967
343121,5,Đã bán 7
339687,5,Đã bán 326
338278,5,Đã bán 467
338324,5,Đã bán 316
337474,5,Đã bán 839
311177,4.9,"Đã bán 2,2k"
322072,4.9,"Đã bán 5,3k"
328906,4.9,"Đã bán 3,3k"
310447,4.9,Đã bán 713
343122,5,Đã bán 6
339681,5,Đã bán 383
340560,5,Đã bán 386
341270,5,Đã bán 388
330162,4.9,"Đã bán 1,6k"
338318,5,Đã bán 425
318163,4.9,Đã bán 4k
339857,5,Đã bán 346
335553,5,Đã bán 611
328814,5,"Đã bán 4,2k"
327707,5,Đã bán 689
331566,5,Đã bán 93
341607,5,Đã bán 5
327050,5,"Đã bán 3,5k"
340559,5,Đã bán 258
336036,5,Đã bán 1k
325697,5,Đã bán 727
334998,5,Đã bán 295
328949,4.9,"Đã bán 1,4k"
337042,5,Đã bán 360
